0 1.0000
300 1.0000
600 1.0000
900 1.0000
1200 1.0000
1500 1.0000
1800 1.0000
2100 9.829
2400 9.117
2700 8.689
3000 8.606
3300 8.653
3600 0.8715
3900 0.8889
4200 0.9599
4500 1.0077
4800 1.0181
5100 1.0136
5400 1.0069
5700 0.9855
6000 0.9125
6300 0.8690
6600 0.8606
6900 0.8653
7200 0.8715
7500 0.8889
7800 0.9599
8100 1.0077
8400 1.0181
8700 1.0136
9000 1.0069
9300 0.9855
9600 0.9125
9900 0.8690
10200 0.8606
10500 0.8653
10800 0.8715
11100 0.8889
11400 0.9599
11700 1.0077
12000 1.0181
12300 1.0136
12600 1.0069
12900 0.9855
13200 0.9125
13500 0.8690
13800 0.8606
14100 0.8653
14400 0.8715
14700 0.8889
15000 0.9599
15300 1.0077
15600 1.0181
15900 1.0136
16200 1.0069
16500 0.9855
16800 0.9125
17100 0.8690
17400 0.8606
17700 0.8653
18000 0.8715
18300 0.8889
18600 0.9599
18900 1.0077
19200 1.0181
19500 1.0136
19800 1.0069
20100 0.9855
20400 0.9125
20700 0.8690
21000 0.8606
21300 0.8653
21600 0.8715
21900 0.8889
22200 0.9599
22500 1.0077
22800 1.0181
23100 1.0136
23400 1.0069
